1:0.0	2:0.0	3:2.0	4:0.0	5:1.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:1.0	19:1.0	20:0.0	21:0.0	22:2.0	23:0.0	24:1.0	25:0.0	26:6.0	27:0.0	28:0.0	29:0.0	30:0.0	31:0.0	32:0.0	33:3.0	34:0.0	35:1.0	36:0.0	37:0.0	38:1.0	39:0.0
1:0.0	2:0.0	3:2.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:1.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0	26:0.0	27:0.0	28:0.0	29:0.0	30:0.0	31:0.0	32:0.0	33:27.0	34:0.0	35:0.0	36:0.0	37:0.0	38:0.0	39:0.0
1:0.0	2:2.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:0.0	20:1.0	21:0.0	22:7.0	23:0.0	24:1.0	25:0.0	26:3.0	27:0.0	28:0.0	29:0.0	30:1.0	31:0.0	32:0.0	33:2.0	34:0.0	35:1.0	36:0.0	37:0.0	38:0.0	39:0.0
1:1.0	2:3.0	3:1.0	4:0.0	5:1.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:3.0	23:0.0	24:0.0	25:1.0	26:4.0	27:0.0	28:0.0	29:1.0	30:1.0	31:0.0	32:1.0	33:0.0	34:0.0	35:1.0	36:0.0	37:0.0	38:1.0	39:0.0
1:0.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:1.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0	26:0.0	27:0.0	28:0.0	29:0.0	30:0.0	31:0.0	32:0.0	33:37.0	34:0.0	35:0.0	36:0.0	37:0.0	38:0.0	39:0.0
1:0.0	2:6.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:1.0	12:0.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0	26:0.0	27:0.0	28:0.0	29:0.0	30:0.0	31:0.0	32:0.0	33:9.0	34:0.0	35:0.0	36:0.0	37:0.0	38:0.0	39:0.0
1:0.0	2:1.0	3:2.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0	14:1.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0	26:0.0	27:0.0	28:0.0	29:0.0	30:1.0	31:0.0	32:0.0	33:4.0	34:1.0	35:0.0	36:0.0	37:0.0	38:0.0	39:0.0
1:1.0	2:0.0	3:7.0	4:0.0	5:3.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:1.0	19:1.0	20:1.0	21:0.0	22:10.0	23:1.0	24:1.0	25:0.0	26:1.0	27:0.0	28:0.0	29:1.0	30:0.0	31:1.0	32:0.0	33:10.0	34:1.0	35:0.0	36:0.0	37:0.0	38:0.0	39:0.0
1:0.0	2:5.0	3:0.0	4:1.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0	26:0.0	27:0.0	28:0.0	29:0.0	30:0.0	31:0.0	32:0.0	33:5.0	34:0.0	35:0.0	36:0.0	37:0.0	38:0.0	39:0.0
1:0.0	2:0.0	3:3.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:1.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:1.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0	26:0.0	27:0.0	28:0.0	29:0.0	30:0.0	31:0.0	32:0.0	33:35.0	34:0.0	35:0.0	36:0.0	37:0.0	38:0.0	39:0.0
