1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:20.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:18.0	2:1.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:6.0	5:2.0	6:0.0	7:0.0	8:0.0	9:2.0	10:0.0	11:8.0
1:11.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:12.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:21.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:15.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:15.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:13.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:30.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:16.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:40.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:20.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:40.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:62.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:16.0	7:0.0	8:1.0	9:0.0	10:0.0	11:3.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:30.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:30.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:19.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:23.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:30.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:20.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:11.0	2:2.0	3:1.0	4:0.0	5:0.0	6:23.0	7:2.0	8:0.0	9:0.0	10:1.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:30.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:10.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:10.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:40.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:10.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:20.0
1:34.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:11.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:17.0
1:3.0	2:1.0	3:1.0	4:0.0	5:0.0	6:25.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:15.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:0.0	10:1.0	11:0.0
1:18.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:19.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:13.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:17.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:20.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:19.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:30.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0
